UID,Mean,Variance,Skewness,Kurtosis,Spike_Ratio,Dominant_FFT_Mag,Abs_Trend_Slope
0001edd756889b6f8ad48f9d7c03fe42d5bc3deabed9d77751d6fb55f6653ff7_4c5c62b1da65cdd9c5e987a8235ab3b3a74d7229603100326c1cb4096ff4a668_0691cf2b03ca11b9cf0685a65dca4dd82a46477076981289a25f463101607766,0.007068452380952379,0.003201525076176193,10.807686677152072,142.06798973089533,58.587619877942466,7.524604549949742,2.735659696093391e-06
0004c683cc83642ad363268eff6fe2ae7dc6552b75aa6fea605077d272aef343_711080f83e057b8dba461b3991f1fb865094c426e5b1fe0ca84992ee903d1a64_947f5ba76d5e0ea5d99436f9c361e13ca79a809486e633846ff8befe20f9d9a2,0.5,0.003720238095238095,0.0,64.2,1.9607843137254901,7.68646503781667,2.4714605620140782e-08
00120a3b2acd94c5dab17ee482c500a76294c4e54fe32eb88fb71125f68f27b7_96cc1a76660a7a0234844fb69a92e5f510cb92119ed7b91bd127ad687a4c1bfc_7964cf6eb1057301a2e1f5b1d88c839668be57bfcb2081a51ee534234adf8845,0.4093488274706867,0.05583641793720223,0.5472151064523316,-0.9797888847555734,2.3846495673578625,197.54903541222848,0.00013671367958597482
002a329cc613536b8fdcb2a5a233109e4516a8377086292364c470d1939d1012_7f86a0057f5055895fabce05329855e56d50fbf0c6236ec42835047128ecee80_19c25bd1dbdef0904813039f61564bf9f1bce4a9df45a1bfba36ffb98250ead7,0.011103479853479849,0.0055473241749856,8.895462119497967,91.35470531583452,47.38555001084835,11.840845992500496,1.7981966824512644e-05
002a329cc613536b8fdcb2a5a233109e4516a8377086292364c470d1939d1012_7f86a0057f5055895fabce05329855e56d50fbf0c6236ec42835047128ecee80_4198cce9884943a601c07fbf01b921bf30136a2fbf85d51f44930ef78df068ae,0.00390625,0.002449398949032738,15.011276261757677,244.61758990802335,71.91011235955057,4.857721737533576,6.103889723034289e-06
0034a0e748db4f5123ee4930f83beffd28e9dda1b2f258395db899466cda6c6e_3d56f2ea23a0585659ae2a3d372747b0b3778556c68eff7dff918bf6f98ac7be_17bab4f45c269bbece466ff14e4732bf20686eef405cd72c07d560e8a24c07b9,0.006572420634920632,0.002540301964246216,11.202258328514096,161.246857976481,60.34121520502843,7.60454701441966,1.048022851322073e-05
0034a0e748db4f5123ee4930f83beffd28e9dda1b2f258395db899466cda6c6e_3d56f2ea23a0585659ae2a3d372747b0b3778556c68eff7dff918bf6f98ac7be_51899739a4b48d30dadbbefcfc4e9f8935e40052cba5d8ec3f2f75ec63ad54c2,0.00855654761904762,0.003543683640991343,9.608266840730566,114.01232780451394,53.88933440256616,9.220355551125659,1.7420913591543623e-05
0034a0e748db4f5123ee4930f83beffd28e9dda1b2f258395db899466cda6c6e_3d56f2ea23a0585659ae2a3d372747b0b3778556c68eff7dff918bf6f98ac7be_d88f1603df1bfdd498b1ef928fe27cb7226b29419f9c4879d60e2316e468aca0,0.00855654761904762,0.003543683640991343,9.608266840730566,114.01232780451394,53.88933440256616,9.220355551125659,1.7420913591543623e-05
0034a0e748db4f5123ee4930f83beffd28e9dda1b2f258395db899466cda6c6e_3d56f2ea23a0585659ae2a3d372747b0b3778556c68eff7dff918bf6f98ac7be_fe8a54a962cdc70b253ca8b44887f2a75755daec7b150db19e84df5c6932a5b3,0.00855654761904762,0.003543683640991343,9.608266840730566,114.01232780451394,53.88933440256616,9.220355551125659,1.7420913591543623e-05
0037e30b230668c167bc4640aac4b44ab74d46567a808c056ea357cec0fd3201_c5db13429290c60d206a9ee1072a99420413b8f059f26a7af53d8bca6d8f92f2_8d642dcc10d54dd2c470b8ba73e258063e07cfca1da8301659944ae17a0bd47c,0.000744047619047619,0.0007434940121882498,36.619677013888115,1339.0007446015597,93.07479224376732,1.0000000000000004,1.6286925103672825e-06
